Country,Item List
Afghanistan,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Albania,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Algeria,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Andorra,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Angola,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Antigua and Barbuda ,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Armenia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Australia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Austria,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Azerbaijan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Bahrain,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Bangladesh,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Barbados,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Belarus,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Belgium,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Belize,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Benin,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Bhutan,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Bosnia and Herzegovina,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Botswana,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Brunei,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Bulgaria,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Burkina Faso,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Burundi,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Cambodia,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Cameroon,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Canada,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Cape Verde,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Central African Republic,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Chad,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
China,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Comoros,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Costa Rica,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Cote d'Ivoire,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Croatia,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cosmetics', 'Cereal', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Cuba,"['Beverages', 'Personal Care', 'Clothes', 'Vegetables', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
Cyprus,"['Beverages', 'Personal Care', 'Vegetables', 'Clothes', 'Office Supplies', 'Cereal', 'Cosmetics', 'Snacks', 'Baby Food', 'Fruits', 'Meat', 'Household']"
